Sign Asset ID,Asset Location ID,MUTCD Code,Sign Message,Asset Name,Asset Size,Asset Category,Asset Sub Category,Direction Facing,Sign Mount,Asset Condition,Asset Status,QC Status,QC Type,Asset Installation Date,Asset Removal Date,Data Collection Date,Created Date,Modified Date,Latitude,Longitude,Location
"794,713","794,746",R7-201P,TOW AWAY ZONE SYMBOL,Tow Away Zone Symbol,10 x 15 in,SIGN_REGULATORY,,E,1.0,1.0,1.0,QC Complete,Install,2024 Oct 10 02:39:00 PM,,,2024 Oct 11 12:45:45 PM,2024 Oct 16 07:05:05 PM,30.496368571573896,-97.7534868210258,POINT (-97.753486821026 30.496368571574)
"567,767","278,263",D3-1,SPRINGFIELD DR,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:00:52 PM,2023 Mar 28 06:16:23 PM,30.16126914277455,-97.73047251031966,POINT (-97.73047251032 30.161269142775)
"542,308","267,886",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 23 12:00:00 AM,2023 Jan 03 08:25:21 PM,2023 Jan 05 04:28:26 PM,30.36516825014496,-97.79901422499128,POINT (-97.799014224991 30.365168250145)
"686,401","609,730",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Uncategorized,SW,1.0,2.0,1.0,QC Complete,,,,2021 Jun 12 12:00:00 AM,2023 Oct 04 02:28:08 PM,2023 Dec 06 09:50:01 PM,30.27349001047917,-97.81158097280532,POINT (-97.811580972805 30.273490010479)
"655,153","601,311",Non-MUTCD,W WILLIAM CANNON DR,Wayfinding,,SIGN_GUIDE,Uncategorized,NE,2.0,2.0,1.0,QC Complete,,,,2021 Nov 14 12:00:00 AM,2023 Oct 04 01:54:28 PM,2023 Dec 06 09:50:01 PM,30.22249590548083,-97.8388421251812,POINT (-97.838842125181 30.222495905481)
"547,618","270,645",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Nov 06 12:00:00 AM,2023 Jan 03 08:28:02 PM,2023 Jan 05 04:34:17 PM,30.29415644106167,-97.71831580912652,POINT (-97.718315809127 30.294156441062)
"224,537","193,260",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,S,1.0,2.0,1.0,QC Complete,,,,2021 Oct 11 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 06:16:23 PM,30.38609718912845,-97.71430974163296,POINT (-97.714309741633 30.386097189128)
"626,711","614,088",D3-1,COUNCIL RIDGE,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 10 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 05 11:01:40 PM,30.236374591101203,-97.74748329141164,POINT (-97.747483291412 30.236374591101)
"663,607","621,965",D3-1,STONEOAK LN,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 15 12:00:00 AM,2023 Oct 04 01:54:28 PM,2024 Jan 03 03:37:54 PM,30.19874851019858,-97.79780662481582,POINT (-97.797806624816 30.198748510199)
"565,485","277,266",W13-1P,30 MPH,Sign Post,,SIGN_WARNING,Horizontal Alignment,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 02 12:00:00 AM,2023 Jan 04 02:00:52 PM,2023 Mar 28 06:16:23 PM,30.201170705878297,-97.7338229489375,POINT (-97.733822948937 30.201170705878)
